5225$,5FRYD3H29EB006174,2014 Acura Mdx,#36230095,IAAI,США,Tx - Dallas,Insurance company,C / 18,2023-05-24,14:30:00,Tx - Salvage Title,Collision,Left Front,-,Run and drive,112792 mi / actual,17729$,0$,Automobile,2014,Acura,Mdx,Black,Wagon 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
5225$,5J8TB4H51EL014544,2014 Acura Rdx Tech Pkg,#34814071,IAAI,США,Wa - Seattle,Insurance company,B / 133,2023-05-24,16:30:00,Wa - Clear,Theft,Front End,Biohazard,Engine starts,128542 mi / not actual,16101$,0$,Automobile,2014,Acura,Rdx Tech Pkg,Silver,Wagon 4 Dr.,All Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
1100$,19VDE1F77EE400951,2014 Acura Ilx 20 Tech,#11741899,IAAI CA,Канада,On - Hamilton,Insurance company,2 / 828,2023-05-25,13:00:00,On - Salvage,Collision,Front,Right Front,Stationary,275000 km / actual,15165$,23297$,Passenger Car,2014,Acura,Ilx 20 Tech,Blue,-,-,-,2.0 L 4 cyl,Auto
5025$,JH4CU2F65EC000122,2014 Acura Tsx Tech Pkg,#35877247,IAAI,США,In - Indianapolis,Insurance company,C / 192,2023-05-24,13:30:00,In - Clear,Collision,Right Front,Undercarriage,Engine starts,108631 mi / actual,14275$,12745$,Automobile,2014,Acura,Tsx Tech Pkg,Black,Sedan 4 Dr.,Front Wheel Drive,Gasoline,2.4 L 4 cyl,Automatic
4125$,5FRYD3H27EB015388,2014 Acura Mdx,#36369908,IAAI,США,Tn - Nashville,Insurance company,-,2023-05-22,02:00:00,Tn - Salvage,Collision,Right Front,-,Stationary,1 mi / inoperable digital dash,18296$,12718$,Automobile,2014,Acura,Mdx,Gray,Wagon 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
0$,19VDE1F31EE009968,2014 Acura Ilx 20,#50697783,Copart,США,Ky - Louisville,Insurance company,-,2023-05-25,14:00:00,Ky - Bill Of Sale/part Only/no Titl,Collision,Front End,Minor Dent/scratches,Run and drive,140919 mi / actual,6523$,8967$,Automobile,2014,Acura,Ilx 20,Black,-,Front-wheel Drive,Gas,2.0 L 4 cyl,Automatic
3150$,5J8TB3H35EL008884,2014 Acura Rdx,#36029499,IAAI,США,Nc - Greensboro,Insurance company,A / 106,2023-05-25,13:30:00,Nc - Salvage Rebuilt,Collision,Right Side,Unknown,Run and drive,136200 mi / actual,12240$,0$,Automobile,2014,Acura,Rdx,Black,Wagon 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
0$,5J8TB4H56EL004866,2014 Acura Rdx Technology,#51346533,Copart,США,Ca - Antelope,Insurance company,C / 3115,2023-05-25,19:00:00,Ca - Salvage Certificate,Collision,Front End,-,Stationary,120529 mi / actual,15428$,18917$,Automobile,2014,Acura,Rdx Technology,Charcoal,-,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
0$,19UUA8F30EA005930,2014 Acura Tl Se,#59367741,Copart,США,Nm - Albuquerque,Third party,B / 2106,2023-05-25,18:00:00,Nm - Non-repairable Vehicle Cert,Theft,Vandalism,Missing/altered Vin,Run and drive,170920 mi / actual,9280$,1694$,Automobile,2014,Acura,Tl Se,White,Sedan 4d,Front-wheel Drive,Gas,3.5 L 6 cyl,Automatic
5000$,JH4KC1F30C0026039,2014 Acura 3.5rlx,#7568208,Auction Wini,Южная Корея,Gyeonggi-do - Icheon,-,4 / 583,2023-05-23,13:00:00,-,-,Normal Wear,-,Run and drive,93428 km,7500$,0$,Automobile,2014,Acura,3.5rlx,-,-,4 Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
